2015-05-23      10,14,20,27,30,07,12
2015-05-20      01,05,07,14,26,04,06
2015-05-18      06,12,19,26,35,03,10
2015-05-16      06,11,14,20,30,05,10
2015-05-13      02,09,15,24,34,03,09
2015-05-11      08,25,28,29,32,04,07
2015-05-09      13,19,24,27,29,07,08
2015-05-06      01,02,11,16,21,01,05
2015-05-04      06,07,10,20,28,02,07
2015-05-02      08,09,11,15,22,08,10
2015-04-29      10,11,22,24,33,02,09
2015-04-27      01,02,17,23,31,05,12
2015-04-25      05,07,10,22,26,04,10
2015-04-22      08,09,22,29,30,08,12
2015-04-20      16,18,27,31,33,01,03
2015-04-18      02,20,22,25,29,02,07
2015-04-15      03,07,12,17,24,02,11
2015-04-13      01,11,21,23,28,01,10
2015-04-11      02,09,10,23,35,09,12
2015-04-08      03,06,07,16,25,01,06
2015-04-06      12,19,22,31,35,07,08
2015-04-04      10,16,21,28,31,07,08
2015-04-01      14,18,20,23,24,04,08
2015-03-30      22,24,29,30,35,01,10
2015-03-28      04,08,15,18,26,05,09
2015-03-25      03,17,22,26,28,03,07
2015-03-23      06,21,25,27,30,07,11
2015-03-21      07,21,29,32,33,04,12
2015-03-18      09,18,19,26,31,02,05
2015-03-16      07,10,19,30,35,03,05
2015-03-14      03,09,28,32,33,09,10
2015-03-11      05,21,22,25,28,03,10
2015-03-09      11,13,14,15,22,02,08
2015-03-07      07,10,20,22,27,10,11
2015-03-04      02,06,08,16,34,03,04
2015-03-02      06,09,11,12,22,03,11
2015-02-28      09,11,14,15,26,11,12
2015-02-25      22,23,24,26,31,05,06
2015-02-16      11,26,28,29,32,01,04
2015-02-14      02,08,16,22,24,01,03
2015-02-11      04,07,10,23,31,03,07
2015-02-09      07,13,16,17,29,01,07
2015-02-07      06,07,16,20,34,09,11
2015-02-04      01,05,13,17,32,04,11
2015-02-02      08,16,25,29,35,03,10
2015-01-31      11,15,25,28,35,07,10
2015-01-28      03,04,06,11,31,05,09
2015-01-26      04,13,22,25,30,01,06
2015-01-24      02,06,17,30,35,02,07
2015-01-21      17,22,26,27,33,06,10
2015-01-19      07,10,11,15,17,03,10
2015-01-17      02,07,08,14,31,04,08
2015-01-14      06,08,30,32,33,03,07
2015-01-12      11,14,15,18,19,07,08
2015-01-10      03,12,14,18,28,05,06
2015-01-07      12,19,27,28,34,01,12
2015-01-05      03,14,20,26,32,06,10
2015-01-03      08,09,19,27,30,06,07
2014-12-31      05,12,17,23,28,02,09
2014-12-29      01,08,13,24,32,05,10
2014-12-27      05,12,18,24,33,01,05
2014-12-24      03,08,26,31,32,08,12
2014-12-22      19,21,30,33,35,05,07
2014-12-20      02,13,19,26,35,01,05
2014-12-17      03,09,10,11,20,07,09
2014-12-15      05,09,14,26,34,02,09
2014-12-13      02,16,23,24,28,10,11
2014-12-10      15,19,22,24,26,10,11
2014-12-08      01,21,24,25,35,04,11
